,vendor_id,b_entity_id
51147,295362367,0F63D9-E
51387,146492313,0B6R9R-E
51621,326281169,09MJ3D-E
51856,140689301,07TQYL-E
52092,54699945,07PFH8-E
52362,58347156,0FG2D8-E
52363,300273587,07W9C0-E
52413,313091509,09RVQY-E
52567,23116506,05WLYQ-E
52798,47937607,089KTQ-E
52799,195373466,05RV9V-E
52800,302391360,07Q7X6-E
52802,54693092,0F7M80-E
53067,46803221,0BC0V3-E
53318,90257133,06Z4L7-E
53368,322558274,00CV9B-E
53387,143425174,000VSV-E
53388,143425174,000VSV-E
53389,143425174,000VSV-E
53390,143425174,000VSV-E
53391,143425174,000VSV-E
53652,284951008,0887J8-E
53769,294010977,07VS9R-E
53770,295055965,082D99-E
53840,280567666,07TZ4L-E
53924,151666528,080N6N-E
53932,47458876,08657S-E
53972,58702285,002DFQ-E
54244,196305601,06VWLM-E
54286,195646236,09LPWK-E
54295,198744082,05PZH9-E
54513,141774803,0BQX14-E
54533,295212480,05NJP5-E
54780,50117632,072KK5-E
54793,269144323,05PHY4-E
54872,48099217,0F49WS-E
55144,143770860,07ZL1H-E
55145,50555716,07ZJ3K-E
55289,284978358,0F7XFK-E
55292,146416087,07ZQK0-E
55515,299405768,0G5Z22-E
55671,178462492,07VM57-E
55940,140693560,07LCQ7-E
55947,50064824,0836Y0-E
56174,151602829,0BZF9X-E
56366,281129859,0DBSZ1-E
56367,197094565,064W53-E
56368,197094565,064W53-E
56369,197094565,064W53-E
56492,27253605,083LXF-E
56510,197252232,09BFJH-E
56769,56500638,05TD9F-E
56819,90278739,07W9P1-E
56869,151948743,07R8GX-E
56919,46322185,07QRG7-E
57183,49469009,0HC0CY-E
57484,145971155,00F7MK-E
57706,303170121,086B19-E
57712,327285286,06771J-E
57934,295867912,0D3D39-E
58144,49550130,0GKXRF-E
58162,59142810,09VMZN-E
58256,50823833,099M7T-E
58363,302726165,05PLGV-E
58481,307128149,06P83H-E
58626,135076422,0C6JYL-E
58663,195508000,085W2Y-E
58781,295202809,0982HR-E
59020,26639350,07W76K-E
59235,307008093,083B91-E
59285,197544216,0BT9MT-E
59547,43118758,00BV2R-E
59597,54692632,07ND0S-E
59819,305511853,0B97GP-E
60069,31722058,07VT72-E
60335,26682246,08QTBZ-E
60453,293094857,07V1SQ-E
60460,49496329,07DTRY-E
60697,306533882,061RNG-E
60943,26748470,0F649J-E
61163,151308911,05PGLD-E
61377,26549310,05PH92-E
61427,197380638,07XGGM-E
61428,177118208,07XMG8-E
61429,292456254,07XGJV-E
61552,58671723,078RDY-E
61759,295269143,085XTT-E
61762,304903565,0C6K0N-E
61914,313256938,008X7F-E
61998,196905799,064W53-E
61999,196905799,064W53-E
62000,196905799,064W53-E
62123,60759819,07VH69-E
62173,26657417,06VV35-E
62391,48082218,09397T-E
62610,145024246,07PW3V-E
62834,275630303,0DDC1C-E
63080,174237940,06HF8J-E
63299,48088060,0DNV16-E
